Country,Code,X,Y,Arrival_Requirement,Quarantine_Requirement
Abyei,"SDN, SSD",28.415755,9.786952,,
Afghanistan,AFG,66.026881,33.831602,"COVID-19 negative certification required for entering the country. <br>

There are no inbound options to travel to the country.<br>","No declared requirement.<br>

There are no inbound options to travel to the country. <br>                                                                                                                                                                                                                                              "
Akrotiri,xUK,32.923365,34.638024,,
Aksai Chin,"AKS, CHN",79.132432,35.030488,,
Åland Islands,ALA,19.80946,60.15449,,
Albania,ALB,20.066643,41.138926,"COVID-19 negative certification not required / not known.
Foreign nationals, aged six and above, travelling to Albania, must demonstrate one of the following:<br>
•        proof of COVID-19 vaccination. The second/final dose of vaccine must have been administered at least 14 days before arrival. <br>
•        negative PCR COVID-19 test performed up to 72 hours ahead of arrival<br>
•        rapid Antigen (COVID-19) test performed no more than 48 hours ahead of arrival<br>
•        evidence proving that you have recovered from COVID-19 within the last six months<br>
If one of the aforementioned requirements is not provided, then the individual will undergo a mandatory 10-day self-isolation period.","Self Isolation- subject to origin.<br>

Albania does not require inbound travelers to quarantine upon entry. Quarantine will only apply in specific cases when ordered by health authorities. Effective September 1, travelers failing to provide proof of negative test results, vaccination, or recovery certificates will be mandated to enter a 10-day self-isolation period."
Algeria,DZA,2.678028,28.157361,"COVID-19 negative certification required for entering the country.<br>

Entry to Algeria requires evidence of a negative PCR test taken less than 36 hours before the date of arrival.","Quarantine requirement at government designated site or own accomodation.<br>

Mandatory quarantine is no longer in place. Check with the Algerian authorities for any entry requirements including quarantine requirements."
American Samoa,ASM,-170.71806,-14.300686,COVID-19 negative certification required for entering the country,"Quarantine Requirement outside territory. <br>

Citizens holding a non-US passport will be required to quarantine for 14 days in Hawaii, Tonga, or Samoa (Apia) before entering the territory."
Andorra,AND,1.576279,42.545479,"COVID-19 negative certification required for entering the country.<br>

All tourists over 6 years of age staying in the country for 3 or more nights must have one of the following certificates: <br>
•        a vaccination certificate confirming that the holder has received the full COVID-19 vaccination dosage <br>
•        a diagnostic certificate indicating a negative SARS-CoV-2 test result in the 72 hours before arriving in the Principality of Andorra or a negative rapid-antigen test certificate from the 48 hours before arriving at the accommodation <br>
•        a recovery certificate certifying that the holder has recovered from COVID-19. The certificate must be the original, written in Catalan, Spanish, French or English
Tourists aged over 6 who are residents of France, Spain and Portugal and residents of so-called <a href=""https://www.salut.ad/temes-de-salut/coronavirus/informacio-allotjaments-turistics"">green countries</a> continue to be exempt from having to present any of the three certificates.

",Home isolation is required until COVID test results are received.
Angola,AGO,17.577532,-12.337524,"COVID-19 negative certification required for entering the country.<br>

All passengers are required to show evidence of a negative COVID-19 PCR test completed 72 hours before travel to Angola: All passengers are required to <a href=""https://viagem.covid19.gov.ao/en/ "">complete an Advance Passenger Information form  </a> (FRV form) 72 hours before travel to Angola. Several travel documents must be uploaded onto the form in PDF format to be accepted before entry to Angola. ","Quarantine requirement at government designated site. <br>

On 31 August, the Angolan government announced that passengers who can show proof of a full COVID-19 vaccination (ie two doses) and who test negative on disembarkation will be exempt from quarantine on arrival. <br>
All other passengers will need to undertake compulsory self-quarantine for at least 7 days once tested for COVID-19 on arrival. If you test negative, returning residents can quarantine in their own homes. Non-resident essential workers have to quarantine in a government or government-approved facility. You must spend at least 7 days in quarantine before being tested.

"
