Country,A3Code,X,Y,Status,Description,Vaccination
Afghanistan,AFG,66.026881,33.831602,Open with restrictions,Most visitors from the United States need to provide a negative COVID-19 test result to enter Afghanistan.,2.08% of population has been vaccinated
Albania,ALB,20.066643,41.138926,Open with restrictions,"Unvaccinated visitors from the United States can enter Albania with a negative COVID-19 test result.

Fully vaccinated visitors from the United States can enter Albania without restrictions.","34.10% of population has been vaccinated"
Algeria,DZA,2.678028,28.157361,Open with restrictions,Most visitors from the United States will not be allowed to enter American Samoa.,13.49% of population has been vaccinated
American Samoa,ASM,-170.71806,-14.300686,Closed,,
Angola,AGO,17.577532,-12.337524,Open with restrictions,Most visitors from the United States need to provide a negative COVID-19 test result and quarantine to enter Angola.,11.16% of population has been vaccinated
Anguilla,AIA,-63.054596,18.214755,Open with restrictions,"Unvaccinated visitors from the United States need to provide a negative COVID-19 test result and quarantine to enter Anguilla.

Fully vaccinated visitors from the United States can enter Anguilla without restrictions.",63.13% of population has been vaccinated
Antigua and Barbuda,ATG,-61.799256,17.077306,Open with restrictions,"Unvaccinated visitors from the United States will not be allowed to enter Antigua And Barbuda.

Vaccinated visitors from the United States can enter Antigua And Barbuda with a negative COVID-19 test result.",55.81% of population has been vaccinated
Argentina,ARG,-63.578123,-31.578414,Closed,Most visitors from the United States will not be allowed to enter Argentina.,68.36% of population has been vaccinated
Armenia,ARM,44.938387,40.295005,Open with restrictions,"Unvaccinated visitors from the United States can enter Armenia with a negative COVID-19 test result.

Fully vaccinated visitors from the United States can enter Armenia without restrictions.",11.59% of population has been vaccinated
Aruba,ABW,-69.970272,12.50911,Open with restrictions,Most visitors from the United States need to provide a negative COVID-19 test result to enter Aruba.,76.60% of population has been vaccinated
Australia,AUS,134.3547,-25.5732,Closed,Most visitors from the United States will not be allowed to enter Australia.,71.26% of population has been vaccinated
Austria,AUT,14.141702,47.58705,Open with restrictions,"Unvaccinated visitors from the United States need to provide a negative COVID-19 test result and quarantine to enter Austria.

Fully vaccinated visitors from the United States can enter Austria without restrictions.",64.34% of population has been vaccinated
Azerbaijan,AZE,50.010647,40.392295,Open with restrictions,Most visitors from the United States need to provide a negative COVID-19 test result to enter Azerbaijan.,48.56% of population has been vaccinated
Bahamas,BHS,77.3963,25.0343,Open with restrictions,Most visitors from the United States need to provide a negative COVID-19 test result to enter The Bahamas.,33.66% of population has been vaccinated
Bahrain,BHR,50.547509,26.054724,Closed,Most visitors from the United States will not be allowed to enter Bahrain.,66.99% of population has been vaccinated
Bangladesh,BGD,90.28042,23.927884,Open with restrictions,Most visitors from the United States need to provide a negative COVID-19 test result and quarantine to enter Bangladesh.,22.96% of population has been vaccinated
Barbados,BRB,-59.53546,13.13996,Open with restrictions,"Most visitors from the United States need to provide a negative COVID-19 test result and quarantine to enter Barbados.
",50.39% of population has been vaccinated
Belarus,BLR,28.0494,53.541933,Open with restrictions,"Unvaccinated visitors from the United States need to provide a negative COVID-19 test result and quarantine to enter Belarus.

Fully vaccinated visitors from the United States can enter Belarus without restrictions.",26.14% of population has been vaccinated
Belgium,BEL,4.660713,50.640947,Open with restrictions,"Unvaccinated visitors from the United States will not be allowed to enter Belgium.

Fully vaccinated visitors from the United States can enter Belgium without restrictions.",74.40% of population has been vaccinated
Belize,BLZ,-88.708794,17.19908,Open with restrictions,Most visitors from the United States need to provide a negative COVID-19 test result to enter Belize.,49.38% of population has been vaccinated
Benin,BEN,2.339979,9.653766,Closed,Most visitors from the United States will not be allowed to enter Benin.,1.74% of population has been vaccinated
