id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004,-158.6179962,66,NA,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,,https://en.wikipedia.org/wiki/Aleknagik_Airport,
3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28,OC,SB,SB-CT,Honiara,yes,AGGH,HIR,,,https://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field
4,AGGM,medium_airport,Munda Airport,-8.32797,157.263,10,OC,SB,SB-WE,Munda,yes,AGGM,MUA,,,https://en.wikipedia.org/wiki/Munda_Airport,
312371,AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224,11600,AS,CN,CN-51,Aba,no,ZUHY,AHJ,,,https://en.wikipedia.org/wiki/Hongyuan_Airport,
8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22,OC,NR,NR-14,Yaren District,yes,ANYN,INU,,,https://en.wikipedia.org/wiki/Nauru_International_Airport,ANAU
314558,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,4560,AS,CN,CN-15,Bayanhot,yes,ZBAL,AXF,,,https://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport,
53,AYBK,medium_airport,Buka Airport,-5.422319889,154.6730042,11,OC,PG,PG-NSB,Buka Island,yes,AYBK,BUA,,,https://en.wikipedia.org/wiki/Buka_Airport,
54,AYCH,medium_airport,Chimbu Airport,-6.024290085,144.970993,4974,OC,PG,PG-CPK,Kundiawa,yes,AYCH,CMU,,,https://en.wikipedia.org/wiki/Chimbu_Airport,
55,AYDU,medium_airport,Daru Airport,-9.086759567,143.2079926,20,OC,PG,PG-WPD,Daru,yes,AYDU,DAU,,,https://en.wikipedia.org/wiki/Daru_Airport,
56,AYGA,medium_airport,Goroka Airport,-6.081689835,145.3919983,5282,OC,PG,PG-EHG,Goronka,yes,AYGA,GKA,,,https://en.wikipedia.org/wiki/Goroka_Airport,
57,AYGN,medium_airport,Gurney Airport,-10.3114996,150.3339996,88,OC,PG,PG-MBA,Gurney,yes,AYGN,GUR,,,https://en.wikipedia.org/wiki/Gurney_Airport,
58,AYGR,medium_airport,Girua Airport,-8.80453968,148.3090057,311,OC,PG,PG-NPP,Popondetta,yes,AYGR,PNP,,,https://en.wikipedia.org/wiki/Girua_Airport,
59,AYHK,medium_airport,Kimbe Airport,-5.462170124,150.4049988,66,OC,PG,PG-WBK,Hoskins,yes,AYHK,HKN,,,https://en.wikipedia.org/wiki/Hoskins_Airport,
60,AYKM,medium_airport,Kerema Airport,-7.963610172,145.7709961,10,OC,PG,PG-GPK,Kerema,yes,AYKM,KMA,,,https://en.wikipedia.org/wiki/Kerema_Airport,
61,AYKV,medium_airport,Kavieng Airport,-2.579400063,150.8079987,7,OC,PG,PG-NIK,Kavieng,yes,AYKV,KVG,,,https://en.wikipedia.org/wiki/Kavieng_Airport,
62,AYMD,medium_airport,Madang Airport,-5.207079887,145.7890015,20,OC,PG,PG-MPM,Madang,yes,AYMD,MAG,,,https://en.wikipedia.org/wiki/Madang_Airport,
63,AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.826789856,144.2960052,5388,OC,PG,PG-WHM,Mount Hagen,yes,AYMH,HGU,,,https://en.wikipedia.org/wiki/Mount_Hagen_Airport,
64,AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,5680,OC,PG,PG-SHM,Mendi,yes,AYMN,MDU,,,https://en.wikipedia.org/wiki/Mendi_Airport,
65,AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12,OC,PG,PG-MRL,Manus Island,yes,AYMO,MAS,,,https://en.wikipedia.org/wiki/Momote_Airport,
66,AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,239,OC,PG,PG-MPL,Lae,yes,AYNZ,LAE,,,https://en.wikipedia.org/wiki/Lae_Nadzab_Airport,MFO
67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380356,147.2200012,146,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM,,,https://en.wikipedia.org/wiki/Jacksons_International_Airport,
68,AYTK,medium_airport,Tokua Airport,-4.34046,152.380005,49,OC,PG,PG-EBR,Kokopo,yes,AYTK,RAB,,,https://en.wikipedia.org/wiki/Rabaul_Airport,
69,AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,10,OC,PG,PG-SAN,Vanimo,yes,AYVN,VAI,,,https://en.wikipedia.org/wiki/Vanimo_Airport,
70,AYWD,medium_airport,Wapenamanda Airport,-5.6433,143.895004,5889,OC,PG,PG-EPW,Wapenamanda,yes,AYWD,WBM,,,https://en.wikipedia.org/wiki/Wapenamanda_Airport,
71,AYWK,medium_airport,Wewak International Airport,-3.583830118,143.6690063,19,OC,PG,PG-ESW,Wewak,yes,AYWK,WWK,,,https://en.wikipedia.org/wiki/Wewak_International_Airport,
44941,AZ-0001,medium_airport,Zabrat Airport,40.49554222,49.97680664,36,AS,AZ,AZ-BA,Baku,no,UBTT,ZXT,,,https://en.wikipedia.org/wiki/Zabrat_Airport,
27301,BCW,medium_airport,Benguera Island Airport,-21.85330009,35.43830109,,AF,MZ,MZ-I,Benguera Island,yes,,BCW,,,https://en.wikipedia.org/wiki/Benguera_Island_Airport,
111,BG-JAM,medium_airport,Bezmer Air Base,42.45489883,26.35219955,509,EU,BG,BG-28,Yambol,no,LBIA,JAM,,,https://en.wikipedia.org/wiki/Bezmer_Airbase,LB44
31697,BGAA,medium_airport,Aasiaat Airport,68.72180176,-52.78469849,74,NA,GL,GL-U-A,Aasiaat,yes,BGAA,JEG,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/aasiaat/,https://en.wikipedia.org/wiki/Aasiaat_Airport,
113,BGBW,medium_airport,Narsarsuaq Airport,61.16049957,-45.42599869,112,NA,GL,GL-U-A,Narsarsuaq,yes,BGBW,UAK,,,https://en.wikipedia.org/wiki/Narsarsuaq_Airport,
114,BGGH,medium_airport,Godthaab / Nuuk Airport,64.190903,-51.678101,283,NA,GL,GL-U-A,Nuuk,yes,BGGH,GOH,,,https://en.wikipedia.org/wiki/Nuuk_Airport,Nuussuaq
115,BGSF,medium_airport,Kangerlussuaq Airport,67.0122219,-50.71160316,165,NA,GL,GL-U-A,Kangerlussuaq,yes,BGSF,SFJ,,,https://en.wikipedia.org/wiki/Kangerlussuaq_Airport,Sondre Stromfjord
31700,BGSS,medium_airport,Sisimiut Airport,66.951302,-53.729301,33,NA,GL,GL-U-A,Sisimiut,yes,BGSS,JHS,,https://www.mit.gl/en/todays-flights/airports/sisimiut-airport/,https://en.wikipedia.org/wiki/Sisimiut_Airport,
116,BGTL,medium_airport,Thule Air Base,76.53119659,-68.70320129,251,NA,GL,GL-U-A,Thule,yes,BGTL,THU,,,https://en.wikipedia.org/wiki/Thule_Air_Base,Pituffik
117,BIAR,medium_airport,Akureyri Airport,65.66000366,-18.0727005,6,EU,IS,IS-6,Akureyri,yes,BIAR,AEY,,,https://en.wikipedia.org/wiki/Akureyri_Airport,
119,BIEG,medium_airport,Egilsstaðir Airport,65.28330231,-14.40139961,76,EU,IS,IS-7,Egilsstaðir,yes,BIEG,EGS,,,https://en.wikipedia.org/wiki/Egilssta%C3%B0ir_Airport,
120,BIHN,medium_airport,Hornafjörður Airport,64.295601,-15.2272,24,EU,IS,IS-8,Höfn,yes,BIHN,HFN,,,https://en.wikipedia.org/wiki/Hornafj%C3%B6r%C3%B0ur_Airport,
121,BIHU,medium_airport,Húsavík Airport,65.952301,-17.426001,48,EU,IS,IS-6,Húsavík,yes,BIHU,HZK,,,https://en.wikipedia.org/wiki/H%C3%BAsav%C3%ADk_Airport,
122,BIIS,medium_airport,Ísafjörður Airport,66.05809784,-23.13529968,8,EU,IS,IS-4,Ísafjörður,yes,BIIS,IFJ,,,https://en.wikipedia.org/wiki/%C3%8Dsafj%C3%B6r%C3%B0ur_Airport,
123,BIKF,large_airport,Keflavik International Airport,63.985001,-22.6056,171,EU,IS,IS-2,Reykjavík,yes,BIKF,KEF,,https://www.isavia.is/en/keflavik-airport,https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,"Keflavik Naval Air Station,REK"
125,BIRK,medium_airport,Reykjavik Airport,64.12999725,-21.94059944,48,EU,IS,IS-1,Reykjavik,yes,BIRK,RKV,,,https://en.wikipedia.org/wiki/Reykjav%C3%ADk_Airport,REK
126,BISI,medium_airport,Siglufjörður Airport,66.137847,-18.908157,10,EU,IS,IS-6,Siglufjörður,no,BISI,SIJ,,,https://en.wikipedia.org/wiki/Siglufj%C3%B6r%C3%B0ur_Airport,
128,BIVM,medium_airport,Vestmannaeyjar Airport,63.42430115,-20.27890015,326,EU,IS,IS-8,Vestmannaeyjar,no,BIVM,VEY,,,https://en.wikipedia.org/wiki/Vestmannaeyjar_Airport,
4614,BKPR,large_airport,Priština Adem Jashari International Airport,42.5728,21.035801,1789,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,,http://www.airportpristina.com/,https://en.wikipedia.org/wiki/Pristina_International_Airport,"LYPR, Pristina, Slatina Air Base"
333222,BR-0569,medium_airport,Glauber de Andrade Rocha Airport,-14.907885,-40.914804,2940,SA,BR,BR-BA,Vitória da Conquista,yes,SBVC,VDC,BA0005,,https://en.wikipedia.org/wiki/Glauber_Rocha_Airport,SSVC
42216,BZ-BGK,medium_airport,Big Creek Airport,16.519369,-88.407913,22,NA,BZ,BZ-SC,Big Creek,yes,MZBG,BGK,,,https://en.wikipedia.org/wiki/Big_Creek_Airport_(Belize),
30861,BZ-CUK,medium_airport,Caye Caulker Airport,17.735015,-88.032862,2,NA,BZ,BZ-BZ,Caye Caulker,yes,MZCK,CUK,,,https://en.wikipedia.org/wiki/Caye_Caulker_Airport,
30867,BZ-CYC,medium_airport,Caye Chapel Airport,17.683792,-88.044985,3,NA,BZ,BZ-BZ,Caye Chapel,yes,MZCP,CYC,,,https://en.wikipedia.org/wiki/Caye_Chapel_Airport,
42209,BZ-CZH,medium_airport,Corozal Municipal Airport,18.38220024,-88.41190338,40,NA,BZ,BZ-CZL,Corozal,yes,,CZH,,,https://en.wikipedia.org/wiki/Corozal_Airport,Ranchito Airport
42207,BZ-DGA,medium_airport,Dangriga Airport,16.98250961,-88.23098755,508,NA,BZ,BZ-SC,Dangriga,yes,,DGA,,,https://en.wikipedia.org/wiki/Dangriga_Airport,Stann Creek Airport
42217,BZ-PLJ,medium_airport,Placencia Airport,16.53695679,-88.36151123,3,NA,BZ,BZ-SC,Placencia,yes,,PLJ,,,https://en.wikipedia.org/wiki/Placencia_Airport,
