,Date,2021 Traveler Throughput,2020 Traveler Throughput,2019 Traveler Throughput
0,10/21/2021,"2,046,694","934,386","2,541,581"
1,10/20/2021,"1,647,089","694,150","2,245,199"
2,10/19/2021,"1,446,353","662,484","2,126,637"
3,10/18/2021,"2,001,297","921,031","2,514,673"
4,10/17/2021,"2,213,296","1,031,505","2,606,266"
5,10/16/2021,"1,704,466","788,743","2,049,855"
6,10/15/2021,"2,070,878","973,046","2,637,667"
7,10/14/2021,"2,048,398","950,024","2,581,007"
8,10/13/2021,"1,641,419","717,940","2,317,763"
9,10/12/2021,"1,695,970","680,894","2,313,632"
10,10/11/2021,"2,083,627","958,440","2,616,771"
11,10/10/2021,"2,086,146","984,234","2,555,333"
12,10/9/2021,"1,645,563","769,868","2,074,718"
13,10/8/2021,"2,169,783","968,545","2,688,032"
14,10/7/2021,"2,063,090","936,915","2,605,291"
15,10/6/2021,"1,563,565","668,519","2,215,233"
16,10/5/2021,"1,390,201","590,766","2,035,628"
17,10/4/2021,"1,842,054","816,838","2,400,153"
18,10/3/2021,"2,100,167","900,911","2,542,118"
19,10/2/2021,"1,534,114","677,661","1,921,185"
20,10/1/2021,"2,011,794","857,186","2,526,835"
21,9/30/2021,"1,934,592","855,908","2,447,687"
22,9/29/2021,"1,448,369","634,046","2,082,179"
23,9/28/2021,"1,334,997","568,688","1,998,980"
24,9/27/2021,"1,849,171","797,699","2,368,818"
25,9/26/2021,"2,102,155","873,038","2,452,596"
26,9/25/2021,"1,525,438","659,350","1,966,234"
27,9/24/2021,"2,019,891","826,329","2,547,611"
28,9/23/2021,"1,904,732","826,316","2,510,926"
29,9/22/2021,"1,460,478","608,726","2,188,236"
30,9/21/2021,"1,338,166","549,741","2,033,490"
31,9/20/2021,"1,820,152","769,936","2,431,388"
32,9/19/2021,"2,075,468","847,968","2,517,826"
33,9/18/2021,"1,476,269","638,575","1,938,402"
34,9/17/2021,"1,942,337","812,214","2,571,924"
35,9/16/2021,"1,851,345","784,746","2,455,410"
36,9/15/2021,"1,455,913","577,847","2,146,857"
37,9/14/2021,"1,271,516","522,383","2,013,050"
38,9/13/2021,"1,672,895","729,558","2,405,832"
39,9/12/2021,"1,966,456","809,850","2,485,134"
40,9/11/2021,"1,363,653","613,703","1,879,822"
41,9/10/2021,"1,792,979","731,353","2,484,025"
42,9/9/2021,"1,685,668","755,051","2,449,302"
43,9/8/2021,"1,439,804","616,923","2,005,867"
44,9/7/2021,"1,662,932","704,075","1,943,379"
45,9/6/2021,"2,025,556","935,308","2,292,985"
46,9/5/2021,"1,630,786","689,630","2,370,003"
47,9/4/2021,"1,545,955","664,640","1,755,502"
48,9/3/2021,"2,129,999","968,673","2,198,828"
49,9/2/2021,"1,896,846","877,698","2,109,858"
50,9/1/2021,"1,465,197","578,131","1,889,044"
51,8/31/2021,"1,345,064","516,068","2,037,750"
52,8/30/2021,"1,629,475","711,178","2,278,159"
53,8/29/2021,"1,900,658","807,695","1,887,845"
54,8/28/2021,"1,511,294","591,734","1,954,902"
55,8/27/2021,"1,853,622","738,873","2,658,558"
56,8/26/2021,"1,826,310","721,060","2,561,109"
57,8/25/2021,"1,539,707","540,043","2,188,688"
58,8/24/2021,"1,468,219","523,186","2,015,088"
59,8/23/2021,"1,820,355","726,788","2,358,007"
60,8/22/2021,"1,965,020","841,806","2,493,162"
