Country Name,Country Code,Continent,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,North America,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79000000,128000000,161000000,140000000,151000000,163000000,156000000,172000000,213000000,248000000,250000000,241000000,270000000,272000000,264000000,261000000,287000000,294000000,342000000,350000000,357000000,319000000,349000000,384000000,402000000,
Afghanistan,AFG,Asia,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000000,70000000,106000000,255000000,110000000,138000000,140000000,151000000,89000000,130000000,226000000,168000000,
Angola,AGO,Africa,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113000000,110000000,125000000,96000000,142000000,146000000,80000000,52000000,49000000,86000000,135000000,393000000,473000000,447000000,270000000,275000000,323000000,288000000,316000000,505000000,389000000,823000000,1216000000,762000000,717000000,
Albania,ALB,Europe,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000000,25000000,13000000,22000000,35000000,290000000,269000000,386000000,507000000,669000000,808000000,989000000,1331000000,1644000000,1692000000,1452000000,1677000000,1374000000,1567000000,1689000000,1311000000,1338000000,1473000000,1750000000,1852000000,
Andorra,AND,Europe,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Asia,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3019000000,3321000000,3651000000,3956000000,4472000000,6186000000,8827000000,11273000000,13288000000,10347000000,11818000000,13206000000,15072000000,16188000000,15848000000,16637099609,17127259766,17644699219,18004099609,33372000000,
Argentina,ARG,South America,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4013000000,4449000000,4973000000,5282000000,5228000000,5460000000,4888000000,2744000000,2997000000,3208000000,3554000000,4047000000,5077000000,5987000000,5808000000,6448000000,7602000000,8466000000,8421000000,7837000000,9348000000,12273000000,14180000000,13084000000,9826000000,
Armenia,ARM,Asia,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000,26000000,45000000,55000000,51000000,56000000,59000000,85000000,97000000,199000000,255000000,300000000,430000000,494000000,496000000,641000000,756000000,874000000,1007000000,1101000000,1057000000,1033000000,1218000000,1335000000,1543000000,
American Samoa,ASM,Oceania,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,North America,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89000000,95000000,101000000,106000000,113000000,,
